Table S9. Genome-wide gene and transposable-element differential expression in Col-0 after 24-h 37°C heat stress. Transposable-element-level results.																			
																			
TE ID	TE alias	TE name	Canonical ONSEN copy	Chromosome	Start	End	Strand	Length (bp)	Mean NS signal	Mean HS signal	Mean signal (all samples)	Descriptive log2FC (HS / NS)	Model log2 fold change (HS / NS)	log2FC SE	Test statistic	P value	BH-adjusted P value	Statistically tested after expression filtering	DE call
AT1TE67130	HELITRON2	AT1TE67130		1	20315687	20316157	-	471	0	0	0	0						False	NS
AT1TE67135	HELITRON3	AT1TE67135		1	20316158	20316268	-	111	0	0	0	0						False	NS
AT1TE67140	HELITRON1	AT1TE67140		1	20316269	20317599	-	1331	0	0	0	0						False	NS
AT1TE67145	HELITRON5	AT1TE67145		1	20317600	20317688	-	89	0	0	0	0						False	NS
AT1TE67150	HELITRON4	AT1TE67150		1	20317759	20317986	-	228	0	0	0	0						False	NS
AT1TE67155	VANDAL6	AT1TE67155		1	20319811	20319996	-	186	0	0	0	0						False	NS
AT1TE67160	VANDAL6	AT1TE67160		1	20320069	20320291	-	223	0	0	0	0						False	NS
AT1TE67165	ATREP3	AT1TE67165		1	20322182	20322322	-	141	0	0	0	0						False	NS
AT1TE67170	HELITRON4	AT1TE67170		1	20322323	20322966	-	644	0.333333333333333	0	0.166666666666667	-0.736965594166206						False	NS
AT1TE67180	ATN9_1	AT1TE67180		1	20328676	20328959	+	284	0	0	0	0						False	NS
AT1TE67185	ATREP16	AT1TE67185		1	20329352	20330733	+	1382	0	0	0	0						False	NS
AT1TE67190	ATREP3	AT1TE67190		1	20331795	20333360	-	1566	0	0	0	0						False	NS
AT1TE67195	ATMUNX1	AT1TE67195		1	20333421	20333516	-	96	0	0	0	0						False	NS
AT1TE67200	ATHILA	AT1TE67200		1	20334147	20334801	-	655	0	0	0	0						False	NS
AT1TE67210	ATREP15	AT1TE67210		1	20339967	20340796	+	830	125.5	59	92.25	-1.08246216019197	-0.880037408726823	0.233114826372555	-3.77512414126925	0.00729597532120818	0.0138722571491931	True	NS
AT1TE67280	HELITRONY1D	AT1TE67280		1	20362628	20362952	-	325	0	0	0	0						False	NS
AT1TE67290	ATLINE1_4	AT1TE67290		1	20367162	20367525	+	364	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE67295	ATHILA7	AT1TE67295		1	20368968	20369264	+	297	0	0	0	0						False	NS
AT1TE67340	BRODYAGA1A	AT1TE67340		1	20385438	20385826	-	389	0	0	0	0						False	NS
AT1TE67345	ATREP5	AT1TE67345		1	20388752	20389319	+	568	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE67360	ATMU6N1	AT1TE67360		1	20395864	20396349	+	486	812.666666666667	606.11	709.388333333333	-0.422781796363061	-0.2171019049712	0.117658617172266	-1.84518491028444	0.108694583775797	0.148967593289595	True	NS
AT1TE67365	ATREP10D	AT1TE67365		1	20397885	20399270	+	1386	0	0	0	0						False	NS
AT1TE67370	ATREP4	AT1TE67370		1	20399271	20399577	+	307	0	0	0	0						False	NS
AT1TE67375	BRODYAGA1A	AT1TE67375		1	20399839	20400179	-	341	0	0	0	0						False	NS
AT1TE67380	ATENSPM1	AT1TE67380		1	20402685	20402902	-	218	1155.33333333333	535	845.166666666667	-1.10997490173955	-0.88501830226466	0.114910305502271	-7.70181837387222	0.000133526358530595	0.000442490345856121	True	NS
AT1TE67385	ATREP6	AT1TE67385		1	20404810	20405331	-	522	0	0	0	0						False	NS
AT1TE67400	ATREP10A	AT1TE67400		1	20411627	20411766	-	140	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE67405	ATTIRTA1	AT1TE67405		1	20411767	20412026	-	260	0	0	0	0						False	NS
AT1TE67410	BRODYAGA1	AT1TE67410		1	20412027	20412128	-	102	0	0	0	0						False	NS
AT1TE67415	ARNOLDY1	AT1TE67415		1	20412553	20412934	-	382	1.33333333333333	0	0.666666666666667	-1.87446911791614						False	NS
AT1TE67440	ARNOLD2	AT1TE67440		1	20420944	20421109	+	166	36	10.8333333333333	23.4166666666667	-1.68732421835083	-1.44534467247574	0.348360324785746	-4.14899335440878	0.00456480273125013	0.0092040792114746	True	Down
AT1TE67445	ATHILA7	AT1TE67445		1	20422943	20423145	-	203	0	0	0	0						False	NS
AT1TE67450	ATCOPIA79	AT1TE67450		1	20423239	20423739	-	501	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE67460	ATREP10B	AT1TE67460		1	20427944	20428845	+	902	150.11	62.61	106.36	-1.25487703480947	-1.03718676345885	0.150705575646654	-6.8822056450695	0.000265872414279189	0.000800283585101111	True	Down
AT1TE67465	ATREP5	AT1TE67465		1	20428429	20428771	-	343	60.9433333333333	27.7766666666667	44.36	-1.11964442394687	-0.903054130265398	0.215650550752925	-4.18758091325277	0.00435435543790526	0.00883913118361252	True	NS
AT1TE67470	ATDNA12T3_2	AT1TE67470		1	20428922	20429239	-	318	6.16666666666667	1.11	3.63833333333333	-2.04990490582631						False	NS
AT1TE67475	ATHILA6B	AT1TE67475		1	20430096	20430351	+	256	1.44333333333333	2.16666666666667	1.805	0.456504116574228						False	NS
AT1TE67480	RathE1_cons	AT1TE67480		1	20432159	20432312	-	154	0	0	0	0						False	NS
AT1TE67485	ATLINE1_2	AT1TE67485		1	20432899	20433301	+	403	0	0	0	0						False	NS
AT1TE67495	ATREP10D	AT1TE67495		1	20437227	20439302	+	2076	2.33333333333333	26.4433333333333	14.3883333333333	3.2493561012973	3.93056275358348	1.11248057691012	3.53315180072672	0.00999467360929869	0.0182757260688743	True	Up
AT1TE67500	ATREP3	AT1TE67500		1	20439303	20439325	-	23	0	0.443333333333333	0.221666666666667	0.915839552336001						False	NS
AT1TE67505	ATREP4	AT1TE67505		1	20439326	20439364	+	39	0	1.11	0.555	1.68706068833989						False	NS
AT1TE67530	ATREP4	AT1TE67530		1	20448179	20448835	+	657	16	4.66666666666667	10.3333333333333	-1.67516030969273	-1.51475566245899	0.377933658300093	-4.00799354381986	0.00543440651832866	0.0107917656852633	True	Down
AT1TE67570	ATREP11A	AT1TE67570		1	20460642	20461010	+	369	0	0	0	0						False	NS
AT1TE67575	ATREP1	AT1TE67575		1	20461011	20461089	+	79	0	0	0	0						False	NS
AT1TE67585	ATREP10D	AT1TE67585		1	20464924	20465028	-	105	0	0	0	0						False	NS
AT1TE67590	HELITRONY1A	AT1TE67590		1	20465029	20466693	-	1665	0	0	0	0						False	NS
AT1TE67595	ATREP11	AT1TE67595		1	20465352	20465424	+	73	0	0	0	0						False	NS
AT1TE67600	HELITRONY1E	AT1TE67600		1	20465427	20466401	+	975	0	0	0	0						False	NS
AT1TE67605	ATREP1	AT1TE67605		1	20466402	20466450	+	49	0	0	0	0						False	NS
AT1TE67610	HELITRONY1A	AT1TE67610		1	20466694	20466774	+	81	0	0	0	0						False	NS
AT1TE67615	HELITRONY3	AT1TE67615		1	20466775	20468318	-	1544	0	0	0	0						False	NS
AT1TE67620	ATREP5	AT1TE67620		1	20468319	20469929	-	1611	0	0	0	0						False	NS
AT1TE67625	ATCOPIA21	AT1TE67625		1	20470029	20470247	+	219	0	0	0	0						False	NS
AT1TE67635	ATGP2N	AT1TE67635		1	20475558	20475861	+	304	0	0	0	0						False	NS
AT1TE67640	ATGP2N	AT1TE67640		1	20475862	20475898	+	37	0	0	0	0						False	NS
AT1TE67645	ATGP2N	AT1TE67645		1	20475899	20477927	-	2029	0	3.11	1.555	2.85199883711245						False	NS
AT1TE67650	ATREP10D	AT1TE67650		1	20479732	20481471	+	1740	1.33333333333333	0	0.666666666666667	-1.87446911791614						False	NS
AT1TE67660	ATCOPIA37	AT1TE67660		1	20486942	20487229	-	288	0	0	0	0						False	NS
AT1TE67665	HELITRONY3	AT1TE67665		1	20488446	20488674	+	229	0.5	0	0.25	-1						False	NS
AT1TE67670	HELITRONY3	AT1TE67670		1	20488675	20490263	+	1589	0.833333333333333	0	0.416666666666667	-1.41503749927884						False	NS
AT1TE67675	ATREP19	AT1TE67675		1	20490741	20491155	+	415	0	0	0	0						False	NS
AT1TE67680	ATREP3	AT1TE67680		1	20491156	20491183	-	28	4	1	2.5	-1.58496250072116						False	NS
AT1TE67685	ATREP10D	AT1TE67685		1	20491347	20492157	-	811	0	0	0	0						False	NS
AT1TE67690	ATREP10A	AT1TE67690		1	20492458	20492479	+	22	0	0	0	0						False	NS
AT1TE67695	ATHATN4	AT1TE67695		1	20492480	20492875	-	396	0	0	0	0						False	NS
AT1TE67700	ATLINEIII	AT1TE67700		1	20494116	20494849	+	734	0	0	0	0						False	NS
AT1TE67705	BRODYAGA1A	AT1TE67705		1	20496405	20496737	-	333	0	0	0	0						False	NS
AT1TE67710	RathE1_cons	AT1TE67710		1	20497386	20497522	-	137	0	0	0	0						False	NS
AT1TE67715	ATLINE1A	AT1TE67715		1	20498931	20499325	-	395	0	0	0	0						False	NS
AT1TE67720	HELITRONY3	AT1TE67720		1	20499347	20499812	+	466	0.333333333333333	0.333333333333333	0.333333333333333	0						False	NS
AT1TE67750	ATREP3	AT1TE67750		1	20508290	20508541	-	252	0.333333333333333	0	0.166666666666667	-0.736965594166206						False	NS
AT1TE67755	ATREP2A	AT1TE67755		1	20508542	20509420	-	879	0	0	0	0						False	NS
AT1TE67760	ATREP2A	AT1TE67760		1	20509421	20509440	-	20	0	0	0	0						False	NS
AT1TE67765	ATDNA12T3_2	AT1TE67765		1	20510044	20510413	-	370	0	0	0	0						False	NS
AT1TE67775	HELITRONY1B	AT1TE67775		1	20513474	20513544	+	71	170.276666666667	102.666666666667	136.471666666667	-0.727133963289937	-0.514370182497425	0.220629857178706	-2.33137159709438	0.0535019075092804	0.0800623274052694	True	NS
AT1TE67780	ATDNA2T9C	AT1TE67780		1	20513545	20513637	+	93	38.9433333333333	20.3333333333333	29.6383333333333	-0.92088778913948	-0.702469844683534	0.319050912650074	-2.20174842581937	0.0646207415890764	0.0939572166634252	True	NS
AT1TE67785	ATREP1	AT1TE67785		1	20513638	20514607	+	970	9.44333333333333	7	8.22166666666667	-0.406838976230813						False	NS
AT1TE67790	ATREP1	AT1TE67790		1	20514608	20514641	-	34	0.666666666666667	7	3.83333333333333	2.68449817427207						False	NS
AT1TE67800	ATREP10D	AT1TE67800		1	20519724	20521099	+	1376	0	0	0	0						False	NS
AT1TE67805	DT1	AT1TE67805		1	20520391	20520598	+	208	0	0	0	0						False	NS
AT1TE67810	DT1	AT1TE67810		1	20520599	20520909	-	311	0	0	0	0						False	NS
AT1TE67820	ATDNA2T9C	AT1TE67820		1	20526473	20526829	+	357	0	0	0	0						False	NS
AT1TE67830	ATTIRX1A	AT1TE67830		1	20532132	20532509	+	378	0	0	0	0						False	NS
AT1TE67860	ATHILA8B	AT1TE67860		1	20540260	20540343	-	84	0	0	0	0						False	NS
AT1TE67865	ATLINE1A	AT1TE67865		1	20540948	20541038	+	91	0	0	0	0						False	NS
AT1TE67880	BOMZH2	AT1TE67880		1	20547877	20548257	-	381	0	0	0	0						False	NS
AT1TE67885	ARNOLD1	AT1TE67885		1	20548258	20548290	+	33	0	0	0	0						False	NS
AT1TE67890	ATDNA2T9C	AT1TE67890		1	20548291	20548554	+	264	0	0	0	0						False	NS
AT1TE67900	ATCOPIA5	AT1TE67900		1	20553838	20554065	-	228	196.333333333333	237	216.666666666667	0.270952954542309	0.488987910059059	0.150836622368351	3.24183810523763	0.0147662608383379	0.025576186332521	True	NS
AT1TE67905	ATCOPIA80	AT1TE67905		1	20554066	20554102	-	37	104.666666666667	130.666666666667	117.666666666667	0.318723630524937	0.515162072637757	0.241566421571917	2.13258974192482	0.0714835281278683	0.102656796033254	True	NS
AT1TE67915	ATREP10D	AT1TE67915		1	20558534	20559585	-	1052	1	0.333333333333333	0.666666666666667	-0.84799690655495						False	NS
AT1TE67920	ATREP1	AT1TE67920		1	20559590	20560402	-	813	32.3333333333333	2	17.1666666666667	-3.71516122384786	-3.54676012561453	0.448159940621091	-7.91404988294844	0.000112807392674017	0.000381042334418184	True	Down
AT1TE68040	ATREP19	AT1TE68040		1	20596901	20596923	+	23	0	0	0	0						False	NS
AT1TE68045	BRODYAGA1A	AT1TE68045		1	20596924	20597342	-	419	0	0	0	0						False	NS
AT1TE68070	ATHILA7	AT1TE68070		1	20606480	20606551	-	72	0	0	0	0						False	NS
AT1TE68100	HELITRONY1C	AT1TE68100		1	20615166	20615802	-	637	65.6666666666667	17	41.3333333333333	-1.91874967947684	-1.71377798284588	0.248125981593728	-6.9068864608139	0.000260173946302616	0.000786205987411369	True	Down
AT1TE68105	ATHAT1	AT1TE68105		1	20616599	20616866	-	268	0	0	0	0						False	NS
AT1TE68115	ATMU3N1	AT1TE68115		1	20622365	20622391	+	27	0	0.666666666666667	0.333333333333333	1.22239242133645						False	NS
AT1TE68120	ATMU3N1	AT1TE68120		1	20622392	20622836	+	445	0	0.666666666666667	0.333333333333333	1.22239242133645						False	NS
AT1TE68210	ATDNA2T9C	AT1TE68210		1	20649027	20649668	+	642	3.33333333333333	0	1.66666666666667	-2.93859945533586						False	NS
AT1TE68215	BRODYAGA1A	AT1TE68215		1	20649173	20649582	-	410	0	0	0	0						False	NS
AT1TE68260	ATREP10D	AT1TE68260		1	20665248	20665865	+	618	0	0	0	0						False	NS
AT1TE68265	ATREP15	AT1TE68265		1	20668830	20669171	+	342	2.66666666666667	0.666666666666667	1.66666666666667	-1.44057259138598						False	NS
AT1TE68270	ATHATN4	AT1TE68270		1	20671739	20671934	-	196	0	0	0	0						False	NS
AT1TE68310	VANDAL2N1	AT1TE68310		1	20683159	20685683	-	2525	0	0	0	0						False	NS
AT1TE68315	LIMPET1	AT1TE68315		1	20686617	20686802	-	186	0	0	0	0						False	NS
AT1TE68320	ATREP18	AT1TE68320		1	20687245	20687834	+	590	0	0	0	0						False	NS
AT1TE68325	ATCOPIA57	AT1TE68325		1	20689289	20689340	+	52	0	0	0	0						False	NS
AT1TE68330	ATCOPIA57	AT1TE68330		1	20689341	20689521	+	181	0.666666666666667	0	0.333333333333333	-1.22239242133645						False	NS
AT1TE68335	ATMU8	AT1TE68335		1	20690326	20690564	-	239	1.66666666666667	0	0.833333333333333	-2.11547721741994						False	NS
AT1TE68345	HELITRONY1D	AT1TE68345		1	20694651	20695217	+	567	0	0	0	0						False	NS
AT1TE68350	ATREP15	AT1TE68350		1	20695899	20696398	-	500	0	0	0	0						False	NS
AT1TE68355	BOMZH2	AT1TE68355		1	20696828	20697332	-	505	0	0	0	0						False	NS
AT1TE68360	ATCOPIA24	AT1TE68360		1	20699111	20699248	+	138	9.33333333333333	10.3333333333333	9.83333333333333	0.139724763666613	0.40747661411279	0.538670249664862	0.756449078757004	0.474724663416769	0.535083968797549	True	NS
AT1TE68365	RP1_AT	AT1TE68365		1	20699804	20700043	+	240	0	0	0	0						False	NS
AT1TE68390	VANDAL17	AT1TE68390		1	20708017	20708421	-	405	573.833333333333	745.666666666667	659.75	0.377609616678596	0.585634007871844	0.112981988794566	5.18342803238042	0.00138888730906233	0.00331974088320815	True	NS
AT1TE68395	ATLINE1_5	AT1TE68395		1	20709456	20711250	-	1795	0.333333333333333	0	0.166666666666667	-0.736965594166206						False	NS
AT1TE68510	ATREP10D	AT1TE68510		1	20747868	20747892	+	25	0	0	0	0						False	NS
AT1TE68515	HELITRONY3	AT1TE68515		1	20747893	20748615	+	723	0	0	0	0						False	NS
AT1TE68520	HELITRONY1B	AT1TE68520		1	20748621	20748758	-	138	1.33333333333333	1	1.16666666666667	-0.289506617194985						False	NS
AT1TE68600	ATHAT1	AT1TE68600		1	20773136	20773292	-	157	0	0	0	0						False	NS
AT1TE68605	ATREP4	AT1TE68605		1	20773296	20774075	-	780	0	0	0	0						False	NS
AT1TE68660	ATHATN1	AT1TE68660		1	20791408	20791700	-	293	2.66666666666667	5	3.83333333333333	0.796466605914868						False	NS
AT1TE68670	ATLINE1_6	AT1TE68670		1	20795216	20795640	+	425	0	0	0	0						False	NS
AT1TE68675	ATREP11	AT1TE68675		1	20795646	20796157	+	512	0	0	0	0						False	NS
AT1TE68740	ATDNA2T9C	AT1TE68740		1	20816744	20816843	+	100	0	0	0	0						False	NS
AT1TE68745	ARNOLDY1	AT1TE68745		1	20816844	20817468	-	625	0	0	0	0						False	NS
AT1TE68750	ATREP10D	AT1TE68750		1	20819274	20819432	-	159	0	0	0	0						False	NS
AT1TE68755	ATREP7	AT1TE68755		1	20819433	20819585	+	153	0	0	0	0						False	NS
AT1TE68760	ATREP7	AT1TE68760		1	20819586	20821227	+	1642	0	0	0	0						False	NS
AT1TE68765	HELITRONY3	AT1TE68765		1	20821228	20821281	-	54	0	0	0	0						False	NS
AT1TE68770	ATREP10B	AT1TE68770		1	20823565	20823686	-	122	0.333333333333333	0	0.166666666666667	-0.736965594166206						False	NS
AT1TE68775	ATREP10C	AT1TE68775		1	20823687	20825199	+	1513	0	0	0	0						False	NS
AT1TE68780	HELITRONY3	AT1TE68780		1	20825200	20825234	+	35	0	0	0	0						False	NS
AT1TE68785	HELITRONY3	AT1TE68785		1	20826180	20827505	+	1326	0	0	0	0						False	NS
AT1TE68790	ATREP15	AT1TE68790		1	20827507	20827576	-	70	0	0	0	0						False	NS
AT1TE68810	ATREP9	AT1TE68810		1	20834542	20834828	-	287	2.66666666666667	6	4.33333333333333	1.03747470541866						False	NS
AT1TE68940	ATCOPIA68	AT1TE68940		1	20873689	20873773	-	85	195.666666666667	63.3333333333333	129.5	-1.61969802311349	-1.4355891467924	0.209169228154717	-6.86329035803742	0.000270335128764524	0.000809079922413482	True	Down
AT1TE69000	HELITRONY1B	AT1TE69000		1	20893364	20893589	+	226	0	0	0	0						False	NS
AT1TE69070	ATREP3	AT1TE69070		1	20914032	20914274	-	243	0	0	0	0						False	NS
AT1TE69075	ATREP1	AT1TE69075		1	20914275	20914938	+	664	0	0	0	0						False	NS
AT1TE69220	HELITRONY1D	AT1TE69220		1	20959811	20960206	+	396	0	0	0	0						False	NS
AT1TE69260	ATREP10D	AT1TE69260		1	20971993	20972050	+	58	0	0	0	0						False	NS
AT1TE69265	ATREP5	AT1TE69265		1	20972051	20972071	+	21	0	0	0	0						False	NS
AT1TE69270	ATREP5	AT1TE69270		1	20972074	20974323	+	2250	4.16666666666667	2.66666666666667	3.41666666666667	-0.559427408614019						False	NS
AT1TE69275	ATREP11	AT1TE69275		1	20974324	20974349	+	26	4.16666666666667	2.33333333333333	3.25	-0.719892080807265						False	NS
AT1TE69285	ATDNAI27T9A	AT1TE69285		1	20979423	20980832	+	1410	0	3.66666666666667	1.83333333333333	3.05889368905357						False	NS
AT1TE69295	ATENSPM5	AT1TE69295		1	20984542	20984813	+	272	1498	1964	1731	0.390643083945112	0.610542784463588	0.067997460101935	8.97890573483662	5.10480110220683e-05	0.000191179805984609	True	NS
AT1TE69400	TAT1_ATH	AT1TE69400		1	21018771	21019194	-	424	0	0	0	0						False	NS
AT1TE69405	ATTIRTA1	AT1TE69405		1	21021308	21021571	-	264	0	0	0	0						False	NS
AT1TE69440	HELITRONY1B	AT1TE69440		1	21033413	21034260	-	848	0	0	0	0						False	NS
AT1TE69450	ATREP15	AT1TE69450		1	21037791	21037829	+	39	0	0	0	0						False	NS
AT1TE69455	ATREP6	AT1TE69455		1	21037830	21038235	-	406	0	0	0	0						False	NS
AT1TE69460	HELITRONY1D	AT1TE69460		1	21038236	21038827	-	592	0	0	0	0						False	NS
AT1TE69465	ATREP15	AT1TE69465		1	21038828	21039075	+	248	0	0	0	0						False	NS
AT1TE69470	ATTIRTA1	AT1TE69470		1	21039623	21039856	+	234	0	0	0	0						False	NS
AT1TE69475	ATREP7	AT1TE69475		1	21040745	21041073	-	329	0	0	0	0						False	NS
AT1TE69480	ARNOLDY2	AT1TE69480		1	21041483	21041921	+	439	0	0	0	0						False	NS
AT1TE69485	HELITRONY3	AT1TE69485		1	21041922	21042242	+	321	0	0	0	0						False	NS
AT1TE69490	SIMPLEGUY1	AT1TE69490		1	21042243	21042268	-	26	0	0	0	0						False	NS
AT1TE69495	SIMPLEGUY1	AT1TE69495		1	21042269	21042929	-	661	0	0	0	0						False	NS
AT1TE69520	BRODYAGA1	AT1TE69520		1	21051058	21051623	-	566	0	0.666666666666667	0.333333333333333	1.22239242133645						False	NS
AT1TE69525	ATHATN1	AT1TE69525		1	21053506	21053617	-	112	0	0	0	0						False	NS
AT1TE69535	ATDNA2T9C	AT1TE69535		1	21057923	21058431	+	509	0	0	0	0						False	NS
AT1TE69560	ATCOPIA94	AT1TE69560		1	21066231	21066452	-	222	0	0	0	0						False	NS
AT1TE69565	HELITRONY3	AT1TE69565		1	21066910	21067588	+	679	0	0	0	0						False	NS
AT1TE69570	ATREP11	AT1TE69570		1	21067589	21067896	-	308	0	0	0	0						False	NS
AT1TE69575	ATREP15	AT1TE69575		1	21069440	21070494	+	1055	0	0	0	0						False	NS
AT1TE69580	HELITRONY2	AT1TE69580		1	21071878	21072073	-	196	0	0	0	0						False	NS
AT1TE69585	ATREP10D	AT1TE69585		1	21072074	21072796	+	723	0	0	0	0						False	NS
AT1TE69610	BOMZH2	AT1TE69610		1	21080530	21080631	+	102	0	0	0	0						False	NS
AT1TE69615	BOMZH2	AT1TE69615		1	21080632	21081127	-	496	0	0	0	0						False	NS
AT1TE69620	BOMZH2	AT1TE69620		1	21081128	21081185	-	58	0	0	0	0						False	NS
AT1TE69650	ARNOLDY2	AT1TE69650		1	21088968	21089544	+	577	0	1.33333333333333	0.666666666666667	1.87446911791614						False	NS
AT1TE69680	ATTIR16T3A	AT1TE69680		1	21097915	21097971	+	57	12.6666666666667	13.1666666666667	12.9166666666667	0.0537712564409807	0.300123539823542	0.345169042258278	0.86949726968553	0.414162347410346	0.477064066886251	True	NS
AT1TE69685	ATTIRX1B	AT1TE69685		1	21097972	21098190	+	219	1	2.16666666666667	1.58333333333333	0.830074998557688						False	NS
AT1TE69695	HELITRONY3	AT1TE69695		1	21102716	21103162	+	447	0	0	0	0						False	NS
AT1TE69700	HELITRONY1E	AT1TE69700		1	21103163	21104416	-	1254	0	0	0	0						False	NS
AT1TE69705	HELITRONY1E	AT1TE69705		1	21104417	21104443	+	27	0	0	0	0						False	NS
AT1TE69710	ATREP4	AT1TE69710		1	21104444	21104830	+	387	0	0	0	0						False	NS
AT1TE69715	HELITRONY1D	AT1TE69715		1	21104831	21104859	-	29	0	0	0	0						False	NS
AT1TE69720	ATREP2	AT1TE69720		1	21104860	21105188	-	329	0	0	0	0						False	NS
AT1TE69725	ATREP10D	AT1TE69725		1	21105189	21105256	+	68	0	0	0	0						False	NS
AT1TE69730	ATHPOGON1	AT1TE69730		1	21105257	21105276	+	20	0	0	0	0						False	NS
AT1TE69735	ATHPOGON1	AT1TE69735		1	21105277	21105955	+	679	0	0	0	0						False	NS
AT1TE69740	ATREP5	AT1TE69740		1	21105956	21106348	+	393	0	0	0	0						False	NS
AT1TE69745	META1	AT1TE69745		1	21106910	21107725	-	816	0	0	0	0						False	NS
AT1TE69780	RathE3_cons	AT1TE69780		1	21120456	21120564	-	109	0	0	0	0						False	NS
AT1TE69785	ATREP3	AT1TE69785		1	21121192	21121267	+	76	0	0	0	0						False	NS
AT1TE69790	HELITRONY2	AT1TE69790		1	21121268	21121949	+	682	0	0	0	0						False	NS
AT1TE69795	VANDAL6	AT1TE69795		1	21124889	21125292	-	404	0	0	0	0						False	NS
AT1TE69800	ATGP2N	AT1TE69800		1	21125293	21125354	-	62	0	0	0	0						False	NS
AT1TE69805	VANDAL6	AT1TE69805		1	21125355	21125756	-	402	0.333333333333333	0	0.166666666666667	-0.736965594166206						False	NS
AT1TE69810	ATLANTYS3	AT1TE69810		1	21125757	21125793	+	37	0	0	0	0						False	NS
AT1TE69815	VANDAL6	AT1TE69815		1	21125811	21126203	-	393	0	0	0	0						False	NS
AT1TE69820	HELITRONY3	AT1TE69820		1	21126441	21126548	-	108	0	0	0	0						False	NS
AT1TE69825	ATREP15	AT1TE69825		1	21126549	21126578	-	30	0	0	0	0						False	NS
AT1TE69830	HELITRONY3	AT1TE69830		1	21126579	21127989	-	1411	0	0	0	0						False	NS
AT1TE69835	ATREP1	AT1TE69835		1	21127990	21128869	+	880	0	0	0	0						False	NS
AT1TE69840	ATREP1	AT1TE69840		1	21128870	21128901	+	32	0	0	0	0						False	NS
AT1TE69845	ATREP4	AT1TE69845		1	21128902	21128957	+	56	6.33333333333333	3	4.66666666666667	-0.965234581839323						False	NS
AT1TE69850	ATREP10B	AT1TE69850		1	21130765	21131106	+	342	13	11.3333333333333	12.1666666666667	-0.190102883379943	0.0102263013893173	0.608984326618495	0.0167923884775507	0.987083497746585	0.98913890160189	True	NS
AT1TE69855	HELITRONY1D	AT1TE69855		1	21131107	21131907	+	801	0	0	0	0						False	NS
AT1TE69860	ARNOLDY1	AT1TE69860		1	21131908	21132147	+	240	0	0	0	0						False	NS
AT1TE69865	ATREP10B	AT1TE69865		1	21132485	21133186	-	702	0	0	0	0						False	NS
AT1TE69870	ATREP4	AT1TE69870		1	21133196	21133256	+	61	0	0	0	0						False	NS
AT1TE69875	ATREP11	AT1TE69875		1	21134775	21135490	-	716	0	0	0	0						False	NS
AT1TE69900	RP1_AT	AT1TE69900		1	21144656	21144913	-	258	0	0	0	0						False	NS
AT1TE69920	HELITRONY1D	AT1TE69920		1	21151749	21152387	-	639	0	0	0	0						False	NS
AT1TE69925	ATREP15	AT1TE69925		1	21152797	21152995	+	199	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE69930	ATREP4	AT1TE69930		1	21152996	21153637	+	642	0	0	0	0						False	NS
AT1TE69935	ATREP4	AT1TE69935		1	21154288	21155239	+	952	0	0	0	0						False	NS
AT1TE69940	ATDNA12T3_2	AT1TE69940		1	21158249	21158440	-	192	0	0	0	0						False	NS
AT1TE69970	ATREP3	AT1TE69970		1	21168326	21168474	-	149	1.33333333333333	1.33333333333333	1.33333333333333	0						False	NS
AT1TE69975	ATREP4	AT1TE69975		1	21168475	21169350	+	876	3.33333333333333	0.333333333333333	1.83333333333333	-2.20163386116965						False	NS
AT1TE69980	ATREP10D	AT1TE69980		1	21169351	21169401	+	51	1.66666666666667	0.333333333333333	1	-1.37851162325373						False	NS
AT1TE69990	ATREP3	AT1TE69990		1	21172521	21173360	-	840	44.1666666666667	3.66666666666667	23.9166666666667	-3.42223300068305	-3.3001191298372	0.437815628469138	-7.53769147386622	0.000152524871805482	0.000494528943924872	True	Down
AT1TE69995	ATREP15	AT1TE69995		1	21173361	21173437	-	77	36.8333333333333	1.33333333333333	19.0833333333333	-4.34792330342031	-4.26815923301267	0.441224805991797	-9.67343443761868	3.17557844440179e-05	0.000132116639835409	True	Down
AT1TE70010	ATHATN3	AT1TE70010		1	21179997	21180142	-	146	0	0	0	0						False	NS
AT1TE70050	ATCOPIA84	AT1TE70050		1	21191750	21191886	+	137	0	0	0	0						False	NS
AT1TE70070	ATREP3	AT1TE70070		1	21199224	21199564	-	341	0	0	0	0						False	NS
AT1TE70100	HELITRONY3	AT1TE70100		1	21209687	21211361	-	1675	0	0.333333333333333	0.166666666666667	0.736965594166206						False	NS
AT1TE70105	ATMU7	AT1TE70105		1	21211545	21211881	-	337	3.33333333333333	3	3.16666666666667	-0.131244533278253						False	NS
AT1TE70115	ATLINE1A	AT1TE70115		1	21215657	21215832	-	176	0	0	0	0						False	NS
AT1TE70120	ATLINEIII	AT1TE70120		1	21218752	21218834	+	83	0	0	0	0						False	NS
AT1TE70140	ATTIRX1A	AT1TE70140		1	21225213	21225311	+	99	0.666666666666667	0	0.333333333333333	-1.22239242133645						False	NS
AT1TE70150	RathE1_cons	AT1TE70150		1	21228851	21229015	-	165	0	0	0	0						False	NS
