Table S7D. Region-level non-redundant HSF motif-coordinate placement metrics across PWM-score thresholds.					
					
Region ID	Region class	Region length (bp)	Relative PWM-score threshold	Non-redundant HSF motif-coordinate placements	Density (placements/kb)
BG_LTR_like_14135	Strict non-ONSEN TE background	314	0.8	10	31.8471337579618
BG_LTR_like_14136	Strict non-ONSEN TE background	1052	0.8	43	40.8745247148289
BG_LTR_like_14137	Strict non-ONSEN TE background	978	0.8	24	24.5398773006135
BG_LTR_like_14140	Strict non-ONSEN TE background	1182	0.8	51	43.1472081218274
BG_LTR_like_14141	Strict non-ONSEN TE background	228	0.8	6	26.3157894736842
BG_LTR_like_14142	Strict non-ONSEN TE background	1187	0.8	64	53.9174389216512
BG_LTR_like_14143	Strict non-ONSEN TE background	539	0.8	18	33.3951762523191
BG_LTR_like_14148	Strict non-ONSEN TE background	280	0.8	8	28.5714285714286
BG_LTR_like_14149	Strict non-ONSEN TE background	1119	0.8	30	26.8096514745308
BG_LTR_like_14150	Strict non-ONSEN TE background	226	0.8	7	30.9734513274336
BG_LTR_like_14151	Strict non-ONSEN TE background	322	0.8	14	43.4782608695652
BG_LTR_like_14152	Strict non-ONSEN TE background	475	0.8	18	37.8947368421053
BG_LTR_like_14153	Strict non-ONSEN TE background	525	0.8	6	11.4285714285714
BG_LTR_like_14156	Strict non-ONSEN TE background	1210	0.8	23	19.0082644628099
BG_LTR_like_14157	Strict non-ONSEN TE background	452	0.8	5	11.0619469026549
BG_LTR_like_14158	Strict non-ONSEN TE background	1895	0.8	61	32.1899736147757
BG_LTR_like_14159	Strict non-ONSEN TE background	763	0.8	46	60.2883355176933
BG_LTR_like_14160	Strict non-ONSEN TE background	310	0.8	10	32.258064516129
BG_LTR_like_14163	Strict non-ONSEN TE background	1630	0.8	33	20.2453987730061
BG_LTR_like_14164	Strict non-ONSEN TE background	1554	0.8	53	34.1055341055341
BG_LTR_like_14165	Strict non-ONSEN TE background	1795	0.8	23	12.8133704735376
BG_LTR_like_14170	Strict non-ONSEN TE background	340	0.8	6	17.6470588235294
BG_LTR_like_14171	Strict non-ONSEN TE background	1336	0.8	30	22.4550898203593
BG_LTR_like_14172	Strict non-ONSEN TE background	251	0.8	4	15.9362549800797
BG_LTR_like_14173	Strict non-ONSEN TE background	261	0.8	8	30.6513409961686
BG_LTR_like_14174	Strict non-ONSEN TE background	1925	0.8	62	32.2077922077922
BG_LTR_like_14179	Strict non-ONSEN TE background	363	0.8	7	19.2837465564738
BG_LTR_like_14180	Strict non-ONSEN TE background	1250	0.8	21	16.8
BG_LTR_like_14183	Strict non-ONSEN TE background	1954	0.8	26	13.3060388945752
BG_LTR_like_14184	Strict non-ONSEN TE background	431	0.8	2	4.64037122969838
BG_LTR_like_14185	Strict non-ONSEN TE background	516	0.8	20	38.7596899224806
BG_LTR_like_14186	Strict non-ONSEN TE background	212	0.8	3	14.1509433962264
BG_LTR_like_14187	Strict non-ONSEN TE background	1666	0.8	37	22.2088835534214
BG_LTR_like_14190	Strict non-ONSEN TE background	1305	0.8	35	26.8199233716475
BG_LTR_like_14191	Strict non-ONSEN TE background	704	0.8	13	18.4659090909091
BG_LTR_like_14192	Strict non-ONSEN TE background	1142	0.8	53	46.4098073555166
BG_LTR_like_14193	Strict non-ONSEN TE background	1195	0.8	38	31.7991631799163
BG_LTR_like_14198	Strict non-ONSEN TE background	282	0.8	12	42.5531914893617
BG_LTR_like_14201	Strict non-ONSEN TE background	618	0.8	19	30.7443365695793
BG_LTR_like_14202	Strict non-ONSEN TE background	279	0.8	12	43.010752688172
BG_LTR_like_14203	Strict non-ONSEN TE background	454	0.8	11	24.2290748898678
BG_LTR_like_14204	Strict non-ONSEN TE background	250	0.8	14	56
BG_LTR_like_14207	Strict non-ONSEN TE background	322	0.8	22	68.3229813664596
BG_LTR_like_14212	Strict non-ONSEN TE background	880	0.8	54	61.3636363636364
BG_LTR_like_14215	Strict non-ONSEN TE background	1651	0.8	59	35.7359176256814
BG_LTR_like_14218	Strict non-ONSEN TE background	582	0.8	22	37.8006872852234
BG_LTR_like_14219	Strict non-ONSEN TE background	1565	0.8	43	27.4760383386581
BG_LTR_like_14220	Strict non-ONSEN TE background	232	0.8	7	30.1724137931034
BG_LTR_like_14221	Strict non-ONSEN TE background	1395	0.8	58	41.5770609318996
BG_LTR_like_14224	Strict non-ONSEN TE background	425	0.8	22	51.7647058823529
BG_LTR_like_14227	Strict non-ONSEN TE background	722	0.8	13	18.005540166205
BG_LTR_like_14228	Strict non-ONSEN TE background	1281	0.8	48	37.4707259953162
BG_LTR_like_14235	Strict non-ONSEN TE background	1427	0.8	40	28.030833917309
BG_LTR_like_14236	Strict non-ONSEN TE background	766	0.8	14	18.2767624020888
BG_LTR_like_14237	Strict non-ONSEN TE background	1210	0.8	36	29.7520661157025
BG_LTR_like_14238	Strict non-ONSEN TE background	1585	0.8	24	15.1419558359621
BG_LTR_like_14239	Strict non-ONSEN TE background	697	0.8	15	21.5208034433286
BG_LTR_like_14242	Strict non-ONSEN TE background	283	0.8	2	7.06713780918728
BG_LTR_like_14245	Strict non-ONSEN TE background	421	0.8	13	30.8788598574822
BG_LTR_like_14248	Strict non-ONSEN TE background	569	0.8	39	68.5413005272408
BG_LTR_like_14249	Strict non-ONSEN TE background	980	0.8	13	13.265306122449
BG_LTR_like_14250	Strict non-ONSEN TE background	270	0.8	2	7.40740740740741
BG_LTR_like_14251	Strict non-ONSEN TE background	690	0.8	14	20.2898550724638
BG_LTR_like_14252	Strict non-ONSEN TE background	557	0.8	22	39.4973070017953
BG_LTR_like_14253	Strict non-ONSEN TE background	570	0.8	15	26.3157894736842
BG_LTR_like_14254	Strict non-ONSEN TE background	374	0.8	16	42.7807486631016
BG_LTR_like_14255	Strict non-ONSEN TE background	951	0.8	35	36.8033648790747
BG_LTR_like_14256	Strict non-ONSEN TE background	1389	0.8	23	16.5586753059755
BG_LTR_like_14257	Strict non-ONSEN TE background	467	0.8	16	34.2612419700214
BG_LTR_like_14258	Strict non-ONSEN TE background	280	0.8	7	25
BG_LTR_like_14261	Strict non-ONSEN TE background	213	0.8	6	28.169014084507
BG_LTR_like_14269	Strict non-ONSEN TE background	1337	0.8	37	27.6738967838444
BG_LTR_like_14270	Strict non-ONSEN TE background	885	0.8	36	40.6779661016949
BG_LTR_like_14273	Strict non-ONSEN TE background	326	0.8	0	0
BG_LTR_like_14291	Strict non-ONSEN TE background	1278	0.8	100	78.2472613458529
BG_LTR_like_14292	Strict non-ONSEN TE background	319	0.8	10	31.3479623824451
BG_LTR_like_14293	Strict non-ONSEN TE background	1212	0.8	13	10.7260726072607
BG_LTR_like_14294	Strict non-ONSEN TE background	612	0.8	30	49.0196078431373
BG_LTR_like_14295	Strict non-ONSEN TE background	1414	0.8	37	26.1669024045262
BG_LTR_like_14296	Strict non-ONSEN TE background	1677	0.8	38	22.6595110316041
BG_LTR_like_14301	Strict non-ONSEN TE background	493	0.8	13	26.369168356998
BG_LTR_like_14302	Strict non-ONSEN TE background	1373	0.8	82	59.7232337946103
BG_LTR_like_14303	Strict non-ONSEN TE background	254	0.8	4	15.748031496063
BG_LTR_like_14306	Strict non-ONSEN TE background	1770	0.8	24	13.5593220338983
BG_LTR_like_14307	Strict non-ONSEN TE background	1969	0.8	50	25.3936008125952
BG_LTR_like_14308	Strict non-ONSEN TE background	253	0.8	2	7.90513833992095
BG_LTR_like_14309	Strict non-ONSEN TE background	812	0.8	11	13.5467980295566
BG_LTR_like_14310	Strict non-ONSEN TE background	1325	0.8	21	15.8490566037736
BG_LTR_like_14311	Strict non-ONSEN TE background	286	0.8	25	87.4125874125874
BG_LTR_like_14312	Strict non-ONSEN TE background	243	0.8	13	53.4979423868313
BG_LTR_like_14313	Strict non-ONSEN TE background	235	0.8	1	4.25531914893617
BG_LTR_like_14314	Strict non-ONSEN TE background	1704	0.8	54	31.6901408450704
BG_LTR_like_14317	Strict non-ONSEN TE background	1352	0.8	44	32.5443786982248
BG_LTR_like_14318	Strict non-ONSEN TE background	662	0.8	26	39.2749244712991
BG_LTR_like_14319	Strict non-ONSEN TE background	247	0.8	3	12.1457489878543
BG_LTR_like_14320	Strict non-ONSEN TE background	523	0.8	9	17.208413001912
BG_LTR_like_14325	Strict non-ONSEN TE background	1352	0.8	44	32.5443786982248
BG_LTR_like_14326	Strict non-ONSEN TE background	662	0.8	26	39.2749244712991
BG_LTR_like_14327	Strict non-ONSEN TE background	245	0.8	3	12.2448979591837
BG_LTR_like_14328	Strict non-ONSEN TE background	527	0.8	9	17.0777988614801
BG_LTR_like_14329	Strict non-ONSEN TE background	1177	0.8	59	50.1274426508071
BG_LTR_like_14330	Strict non-ONSEN TE background	576	0.8	4	6.94444444444444
BG_LTR_like_14331	Strict non-ONSEN TE background	1398	0.8	18	12.8755364806867
BG_LTR_like_14332	Strict non-ONSEN TE background	288	0.8	7	24.3055555555556
BG_LTR_like_14333	Strict non-ONSEN TE background	375	0.8	10	26.6666666666667
BG_LTR_like_14334	Strict non-ONSEN TE background	386	0.8	6	15.5440414507772
BG_LTR_like_14335	Strict non-ONSEN TE background	306	0.8	5	16.3398692810458
BG_LTR_like_14336	Strict non-ONSEN TE background	1617	0.8	27	16.6975881261596
BG_LTR_like_14337	Strict non-ONSEN TE background	1516	0.8	67	44.1952506596306
BG_LTR_like_14340	Strict non-ONSEN TE background	467	0.8	33	70.6638115631692
BG_LTR_like_14341	Strict non-ONSEN TE background	429	0.8	33	76.9230769230769
BG_LTR_like_14342	Strict non-ONSEN TE background	433	0.8	21	48.4988452655889
BG_LTR_like_14343	Strict non-ONSEN TE background	832	0.8	22	26.4423076923077
BG_LTR_like_14346	Strict non-ONSEN TE background	1440	0.8	62	43.0555555555556
BG_LTR_like_14351	Strict non-ONSEN TE background	1796	0.8	30	16.7037861915367
BG_LTR_like_14352	Strict non-ONSEN TE background	756	0.8	24	31.7460317460317
BG_LTR_like_14357	Strict non-ONSEN TE background	1059	0.8	12	11.3314447592068
BG_LTR_like_14358	Strict non-ONSEN TE background	520	0.8	16	30.7692307692308
BG_LTR_like_14359	Strict non-ONSEN TE background	1501	0.8	63	41.9720186542305
BG_LTR_like_14360	Strict non-ONSEN TE background	1549	0.8	61	39.380245319561
BG_LTR_like_14361	Strict non-ONSEN TE background	288	0.8	3	10.4166666666667
BG_LTR_like_14362	Strict non-ONSEN TE background	1058	0.8	13	12.2873345935728
BG_LTR_like_14363	Strict non-ONSEN TE background	498	0.8	10	20.0803212851406
BG_LTR_like_14364	Strict non-ONSEN TE background	1699	0.8	15	8.82872277810477
BG_LTR_like_14365	Strict non-ONSEN TE background	286	0.8	14	48.951048951049
BG_LTR_like_14366	Strict non-ONSEN TE background	556	0.8	24	43.1654676258993
BG_LTR_like_14367	Strict non-ONSEN TE background	1651	0.8	40	24.2277407631738
BG_LTR_like_14370	Strict non-ONSEN TE background	641	0.8	20	31.201248049922
BG_LTR_like_14371	Strict non-ONSEN TE background	996	0.8	56	56.2248995983936
BG_LTR_like_14372	Strict non-ONSEN TE background	650	0.8	4	6.15384615384615
BG_LTR_like_14373	Strict non-ONSEN TE background	312	0.8	12	38.4615384615385
BG_LTR_like_14374	Strict non-ONSEN TE background	223	0.8	12	53.8116591928251
BG_LTR_like_14377	Strict non-ONSEN TE background	1178	0.8	30	25.4668930390492
BG_LTR_like_14378	Strict non-ONSEN TE background	1127	0.8	28	24.8447204968944
BG_LTR_like_14379	Strict non-ONSEN TE background	1713	0.8	44	25.6859311150029
BG_LTR_like_14380	Strict non-ONSEN TE background	1689	0.8	76	44.9970396684429
BG_LTR_like_14383	Strict non-ONSEN TE background	1130	0.8	34	30.0884955752212
BG_LTR_like_14386	Strict non-ONSEN TE background	399	0.8	23	57.6441102756892
BG_LTR_like_14387	Strict non-ONSEN TE background	463	0.8	9	19.438444924406
BG_LTR_like_14388	Strict non-ONSEN TE background	277	0.8	17	61.3718411552347
BG_LTR_like_14393	Strict non-ONSEN TE background	444	0.8	3	6.75675675675676
BG_LTR_like_14396	Strict non-ONSEN TE background	811	0.8	17	20.9617755856967
BG_LTR_like_14397	Strict non-ONSEN TE background	229	0.8	3	13.1004366812227
BG_LTR_like_14398	Strict non-ONSEN TE background	235	0.8	11	46.8085106382979
BG_LTR_like_14399	Strict non-ONSEN TE background	624	0.8	10	16.025641025641
BG_LTR_like_14400	Strict non-ONSEN TE background	327	0.8	3	9.1743119266055
BG_LTR_like_14403	Strict non-ONSEN TE background	1825	0.8	56	30.6849315068493
BG_LTR_like_14406	Strict non-ONSEN TE background	1393	0.8	28	20.1005025125628
BG_LTR_like_14407	Strict non-ONSEN TE background	307	0.8	18	58.6319218241042
BG_LTR_like_14410	Strict non-ONSEN TE background	1561	0.8	56	35.8744394618834
BG_LTR_like_14411	Strict non-ONSEN TE background	329	0.8	12	36.4741641337386
BG_LTR_like_14414	Strict non-ONSEN TE background	245	0.8	5	20.4081632653061
BG_LTR_like_14415	Strict non-ONSEN TE background	1822	0.8	59	32.3819978046103
BG_LTR_like_14418	Strict non-ONSEN TE background	1071	0.8	48	44.8179271708684
BG_LTR_like_14419	Strict non-ONSEN TE background	442	0.8	5	11.3122171945701
BG_LTR_like_14420	Strict non-ONSEN TE background	257	0.8	1	3.89105058365759
BG_LTR_like_14423	Strict non-ONSEN TE background	959	0.8	54	56.3086548488008
BG_LTR_like_14424	Strict non-ONSEN TE background	537	0.8	14	26.0707635009311
BG_LTR_like_14425	Strict non-ONSEN TE background	981	0.8	37	37.7166156982671
BG_LTR_like_14426	Strict non-ONSEN TE background	923	0.8	38	41.1700975081257
BG_LTR_like_14429	Strict non-ONSEN TE background	1533	0.8	40	26.0926288323549
BG_LTR_like_14439	Strict non-ONSEN TE background	240	0.8	4	16.6666666666667
BG_LTR_like_14440	Strict non-ONSEN TE background	369	0.8	3	8.13008130081301
BG_LTR_like_14443	Strict non-ONSEN TE background	823	0.8	39	47.3876063183475
BG_LTR_like_14449	Strict non-ONSEN TE background	1423	0.8	56	39.353478566409
BG_LTR_like_14450	Strict non-ONSEN TE background	1127	0.8	32	28.393966282165
BG_LTR_like_14451	Strict non-ONSEN TE background	292	0.8	12	41.0958904109589
BG_LTR_like_14454	Strict non-ONSEN TE background	889	0.8	13	14.6231721034871
BG_LTR_like_14457	Strict non-ONSEN TE background	318	0.8	7	22.0125786163522
BG_LTR_like_14460	Strict non-ONSEN TE background	648	0.8	10	15.4320987654321
BG_LTR_like_14461	Strict non-ONSEN TE background	410	0.8	14	34.1463414634146
BG_LTR_like_14462	Strict non-ONSEN TE background	270	0.8	7	25.9259259259259
BG_LTR_like_14463	Strict non-ONSEN TE background	619	0.8	20	32.3101777059774
BG_LTR_like_14464	Strict non-ONSEN TE background	580	0.8	28	48.2758620689655
BG_LTR_like_14465	Strict non-ONSEN TE background	316	0.8	11	34.8101265822785
BG_LTR_like_14466	Strict non-ONSEN TE background	1613	0.8	54	33.4779913205208
BG_LTR_like_14469	Strict non-ONSEN TE background	285	0.8	10	35.0877192982456
BG_LTR_like_14470	Strict non-ONSEN TE background	1111	0.8	54	48.6048604860486
BG_LTR_like_14471	Strict non-ONSEN TE background	231	0.8	6	25.974025974026
BG_LTR_like_14472	Strict non-ONSEN TE background	932	0.8	51	54.7210300429184
BG_LTR_like_14473	Strict non-ONSEN TE background	330	0.8	19	57.5757575757576
BG_LTR_like_14476	Strict non-ONSEN TE background	397	0.8	18	45.3400503778337
BG_LTR_like_14545	Strict non-ONSEN TE background	1486	0.8	41	27.5908479138627
BG_LTR_like_14548	Strict non-ONSEN TE background	408	0.8	7	17.156862745098
BG_LTR_like_14600	Strict non-ONSEN TE background	384	0.8	0	0
BG_LTR_like_14601	Strict non-ONSEN TE background	966	0.8	20	20.703933747412
BG_LTR_like_14602	Strict non-ONSEN TE background	1904	0.8	34	17.8571428571429
BG_LTR_like_14605	Strict non-ONSEN TE background	456	0.8	13	28.5087719298246
BG_LTR_like_14606	Strict non-ONSEN TE background	221	0.8	20	90.4977375565611
BG_LTR_like_14607	Strict non-ONSEN TE background	1521	0.8	39	25.6410256410256
BG_LTR_like_14676	Strict non-ONSEN TE background	597	0.8	46	77.0519262981575
BG_LTR_like_14677	Strict non-ONSEN TE background	210	0.8	2	9.52380952380952
BG_LTR_like_14678	Strict non-ONSEN TE background	943	0.8	9	9.5440084835631
BG_LTR_like_14679	Strict non-ONSEN TE background	360	0.8	6	16.6666666666667
BG_LTR_like_14707	Strict non-ONSEN TE background	346	0.8	4	11.5606936416185
BG_LTR_like_14708	Strict non-ONSEN TE background	339	0.8	9	26.5486725663717
BG_LTR_like_14709	Strict non-ONSEN TE background	441	0.8	13	29.4784580498866
BG_LTR_like_14712	Strict non-ONSEN TE background	453	0.8	28	61.8101545253863
BG_LTR_like_14715	Strict non-ONSEN TE background	423	0.8	9	21.2765957446809
BG_LTR_like_14716	Strict non-ONSEN TE background	758	0.8	28	36.9393139841689
BG_LTR_like_14719	Strict non-ONSEN TE background	1624	0.8	48	29.5566502463054
BG_LTR_like_14720	Strict non-ONSEN TE background	412	0.8	5	12.1359223300971
BG_LTR_like_14721	Strict non-ONSEN TE background	682	0.8	21	30.791788856305
BG_LTR_like_14727	Strict non-ONSEN TE background	241	0.8	1	4.149377593361
BG_LTR_like_14734	Strict non-ONSEN TE background	563	0.8	18	31.9715808170515
BG_LTR_like_14773	Strict non-ONSEN TE background	211	0.8	5	23.696682464455
BG_LTR_like_14795	Strict non-ONSEN TE background	347	0.8	4	11.5273775216138
BG_LTR_like_14813	Strict non-ONSEN TE background	515	0.8	11	21.3592233009709
BG_LTR_like_14814	Strict non-ONSEN TE background	995	0.8	29	29.1457286432161
BG_LTR_like_14815	Strict non-ONSEN TE background	372	0.8	4	10.752688172043
BG_LTR_like_14816	Strict non-ONSEN TE background	346	0.8	3	8.67052023121387
BG_LTR_like_14819	Strict non-ONSEN TE background	417	0.8	21	50.3597122302158
BG_LTR_like_14820	Strict non-ONSEN TE background	507	0.8	34	67.0611439842209
BG_LTR_like_14821	Strict non-ONSEN TE background	490	0.8	10	20.4081632653061
BG_LTR_like_14822	Strict non-ONSEN TE background	302	0.8	6	19.8675496688742
BG_LTR_like_14835	Strict non-ONSEN TE background	258	0.8	8	31.0077519379845
BG_LTR_like_14836	Strict non-ONSEN TE background	674	0.8	17	25.2225519287834
BG_LTR_like_15025	Strict non-ONSEN TE background	303	0.8	25	82.5082508250825
BG_LTR_like_15030	Strict non-ONSEN TE background	216	0.8	6	27.7777777777778
BG_LTR_like_15033	Strict non-ONSEN TE background	372	0.8	4	10.752688172043
BG_LTR_like_15034	Strict non-ONSEN TE background	523	0.8	13	24.8565965583174
BG_LTR_like_15041	Strict non-ONSEN TE background	227	0.8	7	30.8370044052863
BG_LTR_like_15054	Strict non-ONSEN TE background	208	0.8	4	19.2307692307692
BG_LTR_like_15094	Strict non-ONSEN TE background	204	0.8	11	53.921568627451
BG_LTR_like_15095	Strict non-ONSEN TE background	477	0.8	8	16.7714884696017
BG_LTR_like_15096	Strict non-ONSEN TE background	444	0.8	22	49.5495495495495
BG_LTR_like_15097	Strict non-ONSEN TE background	744	0.8	48	64.5161290322581
BG_LTR_like_15155	Strict non-ONSEN TE background	485	0.8	11	22.680412371134
BG_LTR_like_15156	Strict non-ONSEN TE background	203	0.8	11	54.1871921182266
BG_LTR_like_15159	Strict non-ONSEN TE background	1464	0.8	53	36.2021857923497
BG_LTR_like_15212	Strict non-ONSEN TE background	848	0.8	51	60.1415094339623
BG_LTR_like_15230	Strict non-ONSEN TE background	306	0.8	12	39.2156862745098
BG_LTR_like_15231	Strict non-ONSEN TE background	309	0.8	5	16.1812297734628
BG_LTR_like_15232	Strict non-ONSEN TE background	288	0.8	11	38.1944444444444
BG_LTR_like_15246	Strict non-ONSEN TE background	651	0.8	10	15.3609831029186
BG_LTR_like_15247	Strict non-ONSEN TE background	657	0.8	11	16.7427701674277
BG_LTR_like_15268	Strict non-ONSEN TE background	270	0.8	6	22.2222222222222
BG_LTR_like_15280	Strict non-ONSEN TE background	466	0.8	10	21.4592274678112
BG_LTR_like_15281	Strict non-ONSEN TE background	376	0.8	16	42.5531914893617
BG_LTR_like_15301	Strict non-ONSEN TE background	1171	0.8	60	51.2382578992314
BG_LTR_like_15302	Strict non-ONSEN TE background	277	0.8	16	57.7617328519855
BG_LTR_like_15364	Strict non-ONSEN TE background	441	0.8	5	11.3378684807256
BG_LTR_like_15367	Strict non-ONSEN TE background	617	0.8	22	35.6564019448947
BG_LTR_like_15368	Strict non-ONSEN TE background	356	0.8	8	22.4719101123596
BG_LTR_like_15418	Strict non-ONSEN TE background	732	0.8	42	57.3770491803279
BG_LTR_like_15573	Strict non-ONSEN TE background	997	0.8	51	51.1534603811434
BG_LTR_like_15790	Strict non-ONSEN TE background	339	0.8	4	11.7994100294985
BG_LTR_like_15819	Strict non-ONSEN TE background	1591	0.8	55	34.5694531741043
BG_LTR_like_15888	Strict non-ONSEN TE background	201	0.8	5	24.8756218905473
Col0_AT1G11265_ONSEN1_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	45	56.25
Col0_AT1G11265_ONSEN1_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	37	46.25
Col0_AT1G21945_ONSEN7_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	39	48.75
Col0_AT1G21945_ONSEN7_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	36	45
Col0_AT1G48710_ONSEN5_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	45	56.25
Col0_AT1G48710_ONSEN5_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	40	50
Col0_AT1G58140_ONSEN4_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	34	42.5
Col0_AT1G58140_ONSEN4_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	34	42.5
Col0_AT3G32415_ONSEN8_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	45	56.25
Col0_AT3G32415_ONSEN8_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	39	48.75
Col0_AT3G59720_ONSEN6_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	41	51.25
Col0_AT3G59720_ONSEN6_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	33	41.25
Col0_AT3G61330_ONSEN2_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	37	46.25
Col0_AT3G61330_ONSEN2_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	45	56.25
Col0_AT5G13205_ONSEN3_leftLTRcandidate	ONSEN terminal candidate windows	800	0.85	41	51.25
Col0_AT5G13205_ONSEN3_rightLTRcandidate	ONSEN terminal candidate windows	800	0.85	49	61.25
BG_LTR_like_00069	Strict non-ONSEN TE background	1076	0.85	10	9.29368029739777
BG_LTR_like_00321	Strict non-ONSEN TE background	249	0.85	4	16.0642570281125
BG_LTR_like_00382	Strict non-ONSEN TE background	566	0.85	8	14.1342756183746
BG_LTR_like_00544	Strict non-ONSEN TE background	1953	0.85	22	11.2647209421403
BG_LTR_like_00545	Strict non-ONSEN TE background	794	0.85	11	13.8539042821159
BG_LTR_like_00598	Strict non-ONSEN TE background	454	0.85	1	2.20264317180617
BG_LTR_like_00976	Strict non-ONSEN TE background	373	0.85	3	8.04289544235925
BG_LTR_like_00977	Strict non-ONSEN TE background	219	0.85	1	4.5662100456621
BG_LTR_like_00988	Strict non-ONSEN TE background	575	0.85	7	12.1739130434783
BG_LTR_like_01007	Strict non-ONSEN TE background	320	0.85	2	6.25
BG_LTR_like_01035	Strict non-ONSEN TE background	1435	0.85	5	3.48432055749129
BG_LTR_like_01083	Strict non-ONSEN TE background	204	0.85	1	4.90196078431373
BG_LTR_like_01139	Strict non-ONSEN TE background	236	0.85	0	0
BG_LTR_like_01218	Strict non-ONSEN TE background	220	0.85	0	0
BG_LTR_like_01304	Strict non-ONSEN TE background	362	0.85	2	5.52486187845304
BG_LTR_like_01309	Strict non-ONSEN TE background	510	0.85	10	19.6078431372549
BG_LTR_like_01341	Strict non-ONSEN TE background	355	0.85	6	16.9014084507042
BG_LTR_like_01399	Strict non-ONSEN TE background	225	0.85	4	17.7777777777778
BG_LTR_like_01400	Strict non-ONSEN TE background	309	0.85	5	16.1812297734628
BG_LTR_like_01528	Strict non-ONSEN TE background	673	0.85	5	7.42942050520059
BG_LTR_like_01529	Strict non-ONSEN TE background	967	0.85	12	12.4095139607032
BG_LTR_like_01530	Strict non-ONSEN TE background	400	0.85	1	2.5
BG_LTR_like_01531	Strict non-ONSEN TE background	236	0.85	0	0
BG_LTR_like_01532	Strict non-ONSEN TE background	203	0.85	0	0
BG_LTR_like_01685	Strict non-ONSEN TE background	296	0.85	2	6.75675675675676
BG_LTR_like_01751	Strict non-ONSEN TE background	651	0.85	3	4.60829493087558
BG_LTR_like_01759	Strict non-ONSEN TE background	285	0.85	8	28.0701754385965
BG_LTR_like_01760	Strict non-ONSEN TE background	226	0.85	0	0
BG_LTR_like_01834	Strict non-ONSEN TE background	1972	0.85	9	4.56389452332657
BG_LTR_like_01871	Strict non-ONSEN TE background	663	0.85	8	12.0663650075415
BG_LTR_like_01872	Strict non-ONSEN TE background	331	0.85	18	54.380664652568
BG_LTR_like_01873	Strict non-ONSEN TE background	215	0.85	2	9.30232558139535
BG_LTR_like_01994	Strict non-ONSEN TE background	273	0.85	0	0
BG_LTR_like_02021	Strict non-ONSEN TE background	200	0.85	0	0
BG_LTR_like_02057	Strict non-ONSEN TE background	224	0.85	0	0
BG_LTR_like_02071	Strict non-ONSEN TE background	1613	0.85	7	4.33973961562306
BG_LTR_like_02081	Strict non-ONSEN TE background	221	0.85	0	0
BG_LTR_like_02102	Strict non-ONSEN TE background	475	0.85	11	23.1578947368421
BG_LTR_like_02114	Strict non-ONSEN TE background	280	0.85	1	3.57142857142857
BG_LTR_like_02135	Strict non-ONSEN TE background	260	0.85	7	26.9230769230769
BG_LTR_like_02136	Strict non-ONSEN TE background	373	0.85	0	0
BG_LTR_like_02139	Strict non-ONSEN TE background	265	0.85	11	41.5094339622641
BG_LTR_like_02143	Strict non-ONSEN TE background	1052	0.85	27	25.6653992395437
BG_LTR_like_02144	Strict non-ONSEN TE background	780	0.85	2	2.56410256410256
BG_LTR_like_02145	Strict non-ONSEN TE background	1759	0.85	12	6.82205798749289
BG_LTR_like_02152	Strict non-ONSEN TE background	586	0.85	20	34.1296928327645
BG_LTR_like_02159	Strict non-ONSEN TE background	639	0.85	6	9.38967136150235
BG_LTR_like_02160	Strict non-ONSEN TE background	280	0.85	3	10.7142857142857
BG_LTR_like_02161	Strict non-ONSEN TE background	1526	0.85	31	20.3145478374836
BG_LTR_like_02164	Strict non-ONSEN TE background	272	0.85	1	3.67647058823529
BG_LTR_like_02169	Strict non-ONSEN TE background	1548	0.85	8	5.16795865633075
BG_LTR_like_02172	Strict non-ONSEN TE background	891	0.85	9	10.1010101010101
BG_LTR_like_02176	Strict non-ONSEN TE background	1731	0.85	13	7.51010976314269
BG_LTR_like_02181	Strict non-ONSEN TE background	210	0.85	0	0
BG_LTR_like_02182	Strict non-ONSEN TE background	232	0.85	2	8.62068965517241
BG_LTR_like_02185	Strict non-ONSEN TE background	807	0.85	2	2.47831474597274
BG_LTR_like_02189	Strict non-ONSEN TE background	1256	0.85	14	11.1464968152866
BG_LTR_like_02190	Strict non-ONSEN TE background	203	0.85	0	0
BG_LTR_like_02191	Strict non-ONSEN TE background	272	0.85	0	0
BG_LTR_like_02192	Strict non-ONSEN TE background	1001	0.85	10	9.99000999000999
BG_LTR_like_02202	Strict non-ONSEN TE background	468	0.85	0	0
BG_LTR_like_02231	Strict non-ONSEN TE background	325	0.85	2	6.15384615384615
